origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
1,1,0,0,2.1691059,526323.4846
1,2,0,0,2.1691059,526323.4846
1,3,0,0,2.1691059,526323.4846
1,4,0,0,2.1691059,526323.4846
1,5,0,0,2.1691059,526323.4846
1,6,0,0,2.1691059,526323.4846
1,7,0,0,2.1691059,526323.4846
1,8,0,0,2.1691059,526323.4846
1,9,0,0,2.1691059,526323.4846
1,10,0,0,2.1691059,526323.4846
1,11,0,0,2.1691059,526323.4846
1,12,0,0,2.1691059,526323.4846
1,13,0,0,2.1691059,526323.4846
1,14,0,0,2.1691059,526323.4846
1,15,0,0,2.1691059,526323.4846
1,16,0,0,2.1691059,526323.4846
1,17,0,0,2.1691059,526323.4846
1,18,0,0,2.1691059,526323.4846
1,19,0,0,2.1691059,526323.4846
1,20,0,0,2.1691059,526323.4846
1,21,0,0,2.1691059,526323.4846
1,22,0,0,2.1691059,526323.4846
1,23,0,0,2.1691059,526323.4846
1,24,0,0,2.1691059,526323.4846
1,25,0,0,2.1691059,526323.4846
2,1,2.1691059,526321.3155,0,526323.4846
2,2,2.1691059,0,0,526323.4846
2,3,2.1691059,526321.3155,0,526323.4846
2,4,2.1691059,154329.5015,0,154331.6706
2,5,2.1691059,417393.4348,0,417395.6039
2,6,2.1691059,526321.3155,0,526323.4846
2,7,2.1691059,526321.3155,0,526323.4846
2,8,2.1691059,417393.4348,0,417395.6039
2,9,2.1691059,121966.0119,0,121968.181
2,10,2.1691059,417393.4348,0,417395.6039
2,11,2.1691059,417393.4348,0,417395.6039
2,12,2.1691059,659759.7818,0,659761.9509
2,13,2.1691059,659759.7818,0,659761.9509
2,14,2.1691059,121966.0119,0,121968.181
2,15,2.1691059,417673.4383,0,417675.6074
2,16,2.1691059,659759.7818,0,659761.9509
2,17,0,0,2.1691059,526323.4846
2,18,2.1691059,659759.7818,0,659761.9509
2,19,2.1691059,659759.7818,0,659761.9509
2,20,0,0,2.1691059,526323.4846
2,21,0,0,2.1691059,526323.4846
2,22,0,0,2.1691059,526323.4846
2,23,0,0,2.1691059,526323.4846
2,24,0,0,2.1691059,526323.4846
2,25,0,0,2.1691059,526323.4846
3,1,0,0,2.1691059,526323.4846
3,2,0,0,2.1691059,526323.4846
3,3,0,0,2.1691059,526323.4846
3,4,0,0,2.1691059,526323.4846
3,5,0,0,2.1691059,526323.4846
3,6,0,0,2.1691059,526323.4846
3,7,0,0,2.1691059,526323.4846
3,8,0,0,2.1691059,526323.4846
3,9,0,0,2.1691059,526323.4846
3,10,0,0,2.1691059,526323.4846
3,11,0,0,2.1691059,526323.4846
3,12,0,0,2.1691059,526323.4846
3,13,0,0,2.1691059,526323.4846
3,14,0,0,2.1691059,526323.4846
3,15,0,0,2.1691059,526323.4846
3,16,0,0,2.1691059,526323.4846
3,17,0,0,2.1691059,526323.4846
3,18,0,0,2.1691059,526323.4846
3,19,0,0,2.1691059,526323.4846
3,20,0,0,2.1691059,526323.4846
3,21,0,0,2.1691059,526323.4846
3,22,0,0,2.1691059,526323.4846
3,23,0,0,2.1691059,526323.4846
3,24,0,0,2.1691059,526323.4846
3,25,0,0,2.1691059,526323.4846
4,1,0,507799.78,0,507799.78
4,2,0,154329.5015,2.1691059,154331.6706
4,3,0,507799.78,0,507799.78
4,4,0,0,0,554056.9688
4,5,0,554056.9688,0,554056.9688
4,6,0,507799.78,0,507799.78
4,7,0,507799.78,0,507799.78
4,8,0,554056.9688,0,554056.9688
4,9,0,66082.21402,0,66082.21402
4,10,0,554056.9688,0,554056.9688
4,11,0,554056.9688,0,554056.9688
4,12,0,641238.2463,0,641238.2463
4,13,0,641238.2463,0,641238.2463
4,14,0,66082.21402,0,66082.21402
4,15,0,399151.9028,0,399151.9028
4,16,0,641238.2463,0,641238.2463
4,17,0,0,0,23350.88421
4,18,0,641238.2463,0,641238.2463
4,19,0,641238.2463,0,641238.2463
4,20,0,0,0,23350.88421
4,21,0,0,0,23350.88421
4,22,0,0,0,23350.88421
4,23,0,0,0,23350.88421
4,24,0,0,0,23350.88421
4,25,0,0,0,23350.88421
5,1,0,0,0,23350.88421
5,2,0,0,0,23350.88421
5,3,0,0,0,23350.88421
5,4,0,0,0,23350.88421
5,5,0,0,0,23350.88421
5,6,0,0,0,23350.88421
5,7,0,0,0,23350.88421
5,8,0,0,0,23350.88421
5,9,0,0,0,23350.88421
5,10,0,0,0,23350.88421
5,11,0,0,0,23350.88421
5,12,0,0,0,23350.88421
5,13,0,0,0,23350.88421
5,14,0,0,0,23350.88421
5,15,0,0,0,23350.88421
5,16,0,0,0,23350.88421
5,17,0,0,0,23350.88421
5,18,0,0,0,23350.88421
5,19,0,0,0,23350.88421
5,20,0,0,0,23350.88421
5,21,0,0,0,23350.88421
5,22,0,0,0,23350.88421
5,23,0,0,0,23350.88421
5,24,0,0,0,23350.88421
5,25,0,0,0,23350.88421
6,1,0,0,2.1691059,526323.4846
6,2,0,0,2.1691059,526323.4846
6,3,0,0,2.1691059,526323.4846
6,4,0,526321.3155,2.1691059,526323.4846
6,5,0,526321.3155,2.1691059,526323.4846
6,6,0,0,2.1691059,526323.4846
6,7,0,526321.3155,2.1691059,526323.4846
6,8,0,526321.3155,2.1691059,526323.4846
6,9,0,526321.3155,2.1691059,526323.4846
6,10,0,526321.3155,2.1691059,526323.4846
6,11,0,526321.3155,2.1691059,526323.4846
6,12,0,526321.3155,2.1691059,526323.4846
6,13,0,526321.3155,2.1691059,526323.4846
6,14,0,526321.3155,2.1691059,526323.4846
6,15,0,526321.3155,2.1691059,526323.4846
6,16,0,526321.3155,2.1691059,526323.4846
6,17,0,526321.3155,2.1691059,526323.4846
6,18,0,526321.3155,2.1691059,526323.4846
6,19,0,526321.3155,2.1691059,526323.4846
6,20,0,526321.3155,2.1691059,526323.4846
6,21,0,526321.3155,2.1691059,526323.4846
6,22,0,526321.3155,2.1691059,526323.4846
6,23,0,526321.3155,2.1691059,526323.4846
6,24,0,526321.3155,2.1691059,526323.4846
6,25,0,526321.3155,2.1691059,526323.4846
7,1,0,0,0,507799.78
7,2,0,526321.3155,2.1691059,526323.4846
7,3,0,0,0,507799.78
7,4,0,507799.78,0,507799.78
7,5,0,600297.7583,0,600297.7583
7,6,0,0,0,507799.78
7,7,0,0,0,507799.78
7,8,0,600297.7583,0,600297.7583
7,9,0,456050.6981,0,456050.6981
7,10,0,600297.7583,0,600297.7583
7,11,0,600297.7583,0,600297.7583
7,12,0,431305.9276,0,431305.9276
7,13,0,431305.9276,0,431305.9276
7,14,0,456050.6981,0,456050.6981
7,15,0,264356.6408,0,264356.6408
7,16,0,431305.9276,0,431305.9276
7,17,0,154329.5015,2.1691059,154331.6706
7,18,0,431305.9276,0,431305.9276
7,19,0,431305.9276,0,431305.9276
7,20,0,154329.5015,2.1691059,154331.6706
7,21,0,154329.5015,2.1691059,154331.6706
7,22,0,154329.5015,2.1691059,154331.6706
7,23,0,154329.5015,2.1691059,154331.6706
7,24,0,154329.5015,2.1691059,154331.6706
7,25,0,154329.5015,2.1691059,154331.6706
8,1,0,600297.7583,0,600297.7583
8,2,0,417393.4348,2.1691059,417395.6039
8,3,0,600297.7583,0,600297.7583
8,4,0,554056.9688,0,554056.9688
8,5,0,0,0,521693.4792
8,6,0,600297.7583,0,600297.7583
8,7,0,600297.7583,0,600297.7583
8,8,0,0,0,521693.4792
8,9,0,521693.4792,0,521693.4792
8,10,0,0,0,521693.4792
8,11,0,0,0,521693.4792
8,12,0,538752.9313,0,538752.9313
8,13,0,538752.9313,0,538752.9313
8,14,0,521693.4792,0,521693.4792
8,15,0,743917.7936,0,743917.7936
8,16,0,538752.9313,0,538752.9313
8,17,0,0,2.1691059,121968.181
8,18,0,538752.9313,0,538752.9313
8,19,0,538752.9313,0,538752.9313
8,20,0,0,2.1691059,121968.181
8,21,0,0,2.1691059,121968.181
8,22,0,0,2.1691059,121968.181
8,23,0,0,2.1691059,121968.181
8,24,0,0,2.1691059,121968.181
8,25,0,0,2.1691059,121968.181
9,1,0,0,2.1691059,121968.181
9,2,0,0,2.1691059,121968.181
9,3,0,0,2.1691059,121968.181
9,4,0,0,2.1691059,121968.181
9,5,0,0,2.1691059,121968.181
9,6,0,0,2.1691059,121968.181
9,7,0,0,2.1691059,121968.181
9,8,0,0,2.1691059,121968.181
9,9,0,0,2.1691059,121968.181
9,10,0,0,2.1691059,121968.181
9,11,0,0,2.1691059,121968.181
9,12,0,121966.0119,2.1691059,121968.181
9,13,0,121966.0119,2.1691059,121968.181
9,14,0,121966.0119,2.1691059,121968.181
9,15,0,121966.0119,2.1691059,121968.181
9,16,0,121966.0119,2.1691059,121968.181
9,17,0,121966.0119,2.1691059,121968.181
9,18,0,121966.0119,2.1691059,121968.181
9,19,0,121966.0119,2.1691059,121968.181
9,20,0,121966.0119,2.1691059,121968.181
